City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Buala,SB,-8.145,159.5921,80.78,79,100,6.33
185,Kokstad,ZA,-30.5472,29.4241,45.45,89,3,4.47
186,New Norfolk,AU,-42.7826,147.0587,34.92,89,5,2.44
187,Omsukchan,RU,62.5333,155.8,49.59,37,98,7.49
188,Gizo,SB,-8.103,156.8419,81.45,74,89,5.59
189,Kassala,SD,15.451,36.4,73.85,81,100,19.35
190,Rabo De Peixe,PT,37.8,-25.5833,71.11,83,75,4.61
191,Mocuba,MZ,-16.8392,36.9856,64.65,88,14,3.76
192,Riviere-Au-Renard,CA,48.9957,-64.3971,68.05,63,78,16.93
193,Avera,US,33.194,-82.5271,90.91,57,99,5.93
194,Hobyo,SO,5.3505,48.5268,75.63,79,25,25.66
195,Qaanaaq,GL,77.484,-69.3632,41.09,80,100,3.53
196,Vila,PT,42.0304,-8.1588,69.69,60,0,5.03
197,Mount Isa,AU,-20.7333,139.5,49.77,43,0,0.0
198,Bulgan,MN,48.8125,103.5347,53.35,88,100,4.79
199,Islahiye,TR,37.025,36.6306,74.01,56,0,6.58
200,Olinda,BR,-8.0089,-34.8553,74.93,94,100,9.22
201,Diego De Almagro,CL,-26.3667,-70.05,64.94,39,100,6.76
202,Husavik,IS,66.0449,-17.3389,45.75,89,100,6.58
203,Kulhudhuffushi,MV,6.6221,73.07,80.08,79,98,19.17
204,Bretten,DE,49.0392,8.7028,70.65,93,100,1.54
205,Necaxa,MX,20.2167,-98.0,80.17,60,81,6.8
206,Riyadh,SA,24.6877,46.7219,96.94,10,81,9.31
207,Touros,BR,-5.1989,-35.4608,75.78,81,84,11.92
208,Turinsk,RU,58.0458,63.696,59.86,78,89,8.12
209,College,US,64.8569,-147.8028,65.59,63,45,1.01
210,Puerto Escondido,MX,15.85,-97.0667,87.42,69,98,8.14
211,Sinazongwe,ZM,-17.2614,27.4618,67.73,65,42,1.81
212,Coihaique,CL,-45.5752,-72.0662,34.41,93,75,3.44
213,Vanimo,PG,-2.6741,141.3028,75.4,89,100,3.91
214,Poquoson,US,37.1224,-76.3458,95.05,50,72,10.58
215,Vilhena,BR,-12.7406,-60.1458,86.22,28,0,8.05
216,Tecoman,MX,18.9167,-103.8833,95.47,49,74,6.87
217,Adrar,MR,20.5022,-10.0711,95.85,18,19,11.54
218,Saint-Francois,FR,46.4154,3.9054,67.44,73,0,3.44
219,Solnechnyy,RU,50.7214,136.6319,58.57,95,100,5.06
220,Kindu,CD,-2.95,25.95,77.85,55,88,2.53
221,Taltal,CL,-25.4,-70.4833,58.78,82,100,2.73
222,Airai,TL,-8.9266,125.4092,56.71,94,88,3.53
223,Cockburn Town,TC,21.4612,-71.1419,82.26,77,1,20.07
224,Kalemie,CD,-5.9475,29.1947,71.56,51,0,1.66
225,Sembakung,ID,3.8167,117.25,72.7,99,100,1.99
226,De Aar,ZA,-30.6497,24.0123,51.64,55,3,3.65
227,Bozeman,US,45.6796,-111.0386,90.82,23,0,5.99
228,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,3.44
229,Port Lincoln,AU,-34.7333,135.8667,51.42,80,71,10.6
230,Casablanca,MA,33.5928,-7.6192,82.62,74,25,5.99
231,Doha,QA,25.2867,51.5333,94.98,59,0,4.61
232,Souillac,MU,-20.5167,57.5167,68.38,73,75,12.66
233,San-Pedro,CI,4.7485,-6.6363,73.98,74,28,6.4
234,Klaksvik,FO,62.2266,-6.589,49.12,91,98,19.15
235,Swan River,CA,52.1058,-101.2676,73.24,56,13,16.58
236,Gumdag,TM,39.2061,54.5906,81.3,68,0,11.21
237,Blackwater,AU,-23.5833,148.8833,58.87,85,99,11.25
238,At-Bashi,KG,41.1702,75.8106,58.08,36,0,6.44
239,Castro,BR,-24.7911,-50.0119,61.99,83,2,4.27
240,Haines Junction,CA,60.7522,-137.5108,53.1,64,100,8.59
241,Guanica,PR,17.9716,-66.908,89.04,77,8,14.47
242,Sibu,MY,2.3,111.8167,74.14,98,45,2.1
243,Gorontalo,ID,0.5412,123.0595,73.44,95,43,2.21
244,Provideniya,RU,64.3833,-173.3,46.51,76,75,20.13
245,Mount Gambier,AU,-37.8333,140.7667,39.09,84,2,5.26
246,Qui Nhon,VN,13.7667,109.2333,77.5,86,100,6.31
247,Ugoofaaru,MV,5.6667,73.0,80.11,79,96,17.83
248,Ribeira Brava,PT,32.65,-17.0667,72.72,80,4,7.67
249,Kruisfontein,ZA,-34.0033,24.7314,53.89,91,95,4.05
250,Champerico,GT,14.3,-91.9167,85.53,72,100,8.86
251,Bukachacha,RU,52.9833,116.9167,58.39,98,56,0.92
252,Severo-Kurilsk,RU,50.6789,156.125,52.11,97,98,11.79
253,Maracana,BR,-0.7667,-47.45,75.72,96,59,3.89
254,Quatre Cocos,MU,-20.2078,57.7625,66.09,73,97,20.45
255,Dudinka,RU,69.4058,86.1778,51.55,79,98,9.57
256,San Jeronimo,PE,-11.9472,-75.2829,62.73,32,60,4.38
257,Iguape,BR,-24.7081,-47.5553,64.98,88,20,6.04
258,Quzhou,CN,28.9594,118.8686,80.28,83,100,4.12
259,Nikolskoye,RU,59.7035,30.7861,68.88,65,100,9.51
260,Gambo,CF,4.6482,22.2633,69.3,98,96,1.43
261,Hambantota,LK,6.1241,81.1185,78.35,85,98,17.6
262,Pombas,CV,17.1503,-25.0201,73.11,86,22,7.34
263,Mahebourg,MU,-20.4081,57.7,66.25,73,89,20.58
264,Chingirlau,KZ,51.095,54.0814,63.52,53,1,3.53
265,Lorengau,PG,-2.0226,147.2712,79.75,79,94,3.65
266,Sungaipenuh,ID,-2.0833,101.3833,62.38,96,93,1.66
267,Viedma,AR,-40.8135,-62.9967,63.99,42,82,24.81
268,Harstad,NO,68.799,16.5293,58.39,99,72,8.01
269,Calama,CL,-22.4667,-68.9333,68.27,16,99,10.18
270,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,6.91
271,Oktyabrskoye,RU,43.0645,44.7417,62.74,93,52,2.24
272,Butwal,NP,27.7006,83.4484,77.86,91,100,3.2
273,Elista,RU,46.3078,44.2558,64.92,82,56,11.18
274,Jaguaribe,BR,-5.8906,-38.6219,81.3,32,69,4.41
275,Tambo,PE,-14.8,-73.9167,47.71,31,45,6.33
276,Talnakh,RU,69.4865,88.3972,53.49,71,100,5.84
277,Uglegorsk,RU,49.0833,142.0333,59.02,89,69,0.78
278,Narok,KE,-1.0783,35.8601,52.97,93,45,5.82
279,Wewak,PG,-3.5534,143.6268,76.73,87,100,4.99
280,Porbandar,IN,21.6422,69.6093,80.76,85,69,16.78
281,Noo,EE,58.2756,26.5375,59.04,77,24,8.05
282,Atasu,KZ,48.6814,71.6433,78.71,42,95,7.27
283,Shache,CN,38.4167,77.2406,77.25,19,0,7.94
284,Northam,GB,51.0333,-4.2167,63.39,78,11,13.44
285,Adwa,ET,14.1646,38.8955,60.24,90,98,1.83
286,Iqaluit,CA,63.7506,-68.5145,49.69,81,100,3.0
287,Heilbron,ZA,-27.2812,27.9709,50.63,52,6,3.33
288,Khandyga,RU,62.6667,135.6,71.1,71,0,2.42
289,Buarcos,PT,40.166,-8.8768,65.66,94,0,8.37
290,Okakarara,NA,-20.5833,17.4333,53.73,36,0,6.04
291,Dikson,RU,73.5069,80.5464,41.59,73,11,24.58
292,Pyapon,MM,16.2833,95.6833,77.0,93,100,8.37
293,Gornopravdinsk,RU,60.05,69.9,59.31,81,94,4.32
294,Lashio,MM,22.9333,97.75,69.21,100,99,1.36
295,Narsaq,GL,60.9167,-46.05,57.42,82,94,3.15
296,Khandbari,NP,27.3747,87.2039,72.93,88,100,0.27
297,Khash,IR,28.2211,61.2158,79.63,37,34,2.33
298,Damaturu,NG,11.747,11.9608,74.52,81,100,3.8
299,Methven,NZ,-43.6333,171.65,37.02,95,100,5.01
300,Pangnirtung,CA,66.1451,-65.7125,48.6,84,100,2.91
301,San Quintin,MX,30.4833,-115.95,75.78,63,73,13.94
302,Mahibadhoo,MV,3.7833,72.9667,79.72,78,100,13.02
303,Macia,MZ,-25.0269,33.0989,65.19,84,1,5.17
304,Naze,JP,28.3667,129.4833,81.16,88,57,16.89
305,Dutse,NG,11.7594,9.3392,72.57,79,100,2.35
306,Hamilton,US,39.1834,-84.5333,94.75,62,40,16.11
307,Lavrentiya,RU,65.5833,-171.0,39.74,96,100,16.64
308,Abu Samrah,SY,35.3029,37.1841,78.12,49,0,12.46
309,Sassandra,CI,4.95,-6.0833,73.36,76,42,6.38
310,Atambua,ID,-9.1061,124.8925,70.0,90,100,4.92
311,Cidreira,BR,-30.1811,-50.2056,61.57,91,0,15.73
312,Deputatskiy,RU,69.3,139.9,36.66,92,91,4.65
313,Filadelfia,US,39.9523,-75.1638,97.02,45,47,5.99
314,Murashi,RU,59.3999,48.9615,50.76,94,82,1.86
315,Kharp,RU,66.8014,65.8081,59.23,61,100,6.71
316,Bud,US,39.447,-86.1758,93.92,62,4,14.74
317,Pedernales,DO,18.0384,-71.744,90.54,51,18,0.38
318,Marawi,PH,7.9986,124.2928,69.64,94,46,3.56
319,Banda Aceh,ID,5.5577,95.3222,80.17,72,100,15.03
320,Banisilan,PH,7.4908,124.7242,71.33,93,77,1.23
321,Elko,US,41.0002,-115.5012,93.22,14,73,3.0
322,Nizhniy Tsasuchey,RU,50.5167,115.1333,62.42,90,68,6.91
323,Komsomolskiy,UZ,40.4272,71.7189,79.52,36,0,6.91
324,Dombarovskiy,RU,50.7587,59.5386,63.46,60,84,7.83
325,Fallon,US,39.4735,-118.7774,95.45,18,0,3.0
326,Bull Savanna,JM,17.8868,-77.5902,83.55,65,22,16.24
327,Sinnamary,GF,5.3833,-52.95,80.01,77,6,8.14
